run_id,timestamp,config,outage_s,final_pos_error_m,pct_of_distance,cep50_m,cep95_m,along_track_m,cross_track_m,heading_error_deg,outage_id,split,source_side,has_ground_truth,skip_reason
vw8,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,348.7482,148.7305,111.5518,329.8687,-264.8725,226.8582,111.7979,3,test,phone,True,
vw9,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,20.9203,24.9011,3.0059,18.8592,-2.6688,20.7494,29.3622,1,test,phone,True,
vw10,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,76.0519,57.4151,32.5946,72.0254,-68.8336,-32.3398,53.0082,1,test,phone,True,
vw11,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,58.1356,64.7215,22.2754,56.7039,-57.9799,4.2502,1.4949,1,test,phone,True,
vw11,2026-09-09T00:14:10Z,baseline_strapdown_v1,120,1303.8539,86.7226,683.3456,1259.0239,961.7428,-880.4006,26.7562,2,test,phone,True,
vw11,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,1397.0712,298.033,659.5079,1311.2259,1292.0331,-531.4704,9.2734,3,test,phone,True,
vw11,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,255.7535,34.708,105.9448,235.6584,-167.562,-193.2168,29.4291,4,test,phone,True,
vw12,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,14.4731,5.4253,7.6076,13.901,7.3907,-12.4438,0.8136,1,test,phone,True,
vw12,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,116.8848,16.3572,46.6726,111.0636,66.6341,-96.0316,2.2176,2,test,phone,True,
vw14a,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,338.9432,23.7114,209.2204,319.7616,-149.8079,-304.0419,22.0025,1,test,phone,True,
vw14a,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,83.9861,10.5566,29.211,71.7007,-68.7,-48.3108,18.561,2,test,phone,True,
vw14a,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,56.1585,23.2189,17.9553,52.3471,-5.9772,-55.8396,19.5815,3,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_strapdown_v1,120,1730.2682,58.0601,379.1203,1533.8778,1675.5432,431.4392,7.8973,1,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_strapdown_v1,60,941.6082,64.014,238.4188,869.9843,520.1456,784.888,35.8762,2,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,51.5,23.5922,2.5614,46.8991,-1.1027,51.4881,21.2735,3,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_strapdown_v1,30,222.837,33.7363,125.2905,210.9279,129.4991,181.3435,9.4336,4,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_strapdown_v1,180,3420.5321,144.2126,894.5324,3128.0204,2987.6616,-1665.5327,48.9902,5,test,phone,True,
vw14c,2026-09-09T00:14:10Z,baseline_strapdown_v1,10,18.0146,40.345,4.8201,16.2901,-12.8886,-12.5861,25.3393,1,test,phone,True,
